Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.156250,31.296875,27.906250,29.531250,26.267759,98114800
2000-01-04,28.875000,29.656250,26.250000,26.921875,23.946749,116824800
2000-01-05,25.406250,26.593750,24.000000,25.500000,22.681999,166054000
2000-01-06,25.039049,26.250000,23.671875,24.000000,21.347761,109880000
2000-01-07,23.750000,25.875000,23.390625,25.843750,22.987759,91755600
2000-01-10,27.000000,29.000000,26.375000,28.937500,25.739622,91518000
2000-01-11,28.156250,28.687500,27.375000,28.093750,24.989111,86585200
2000-01-12,28.062500,28.062500,25.921875,26.406250,23.488100,83443600
2000-01-13,27.125000,27.468750,25.875000,26.265625,23.363016,55779200
2000-01-14,27.250000,27.843750,26.187500,26.703125,23.752163,57078000
2000-01-18,26.968750,28.625000,26.406250,27.812500,24.738943,66780000
2000-01-19,28.062500,29.125000,27.000000,28.562500,25.406065,49198400
2000-01-20,29.500000,30.125000,29.062500,29.625000,26.351145,54526800
2000-01-21,30.750000,30.750000,29.500000,29.843750,26.545721,50891000
2000-01-24,30.125000,30.187500,27.000000,27.093750,24.099627,50022400
2000-01-25,27.531250,28.750000,27.437500,28.218750,25.100300,53059200
2000-01-26,28.375000,29.468750,27.500000,27.531250,24.488775,47569200
2000-01-27,27.906250,28.343750,25.000000,25.906250,23.043356,61054000
2000-01-28,25.750000,25.968750,23.312500,23.687500,21.069799,86394000
2000-01-31,23.968750,25.062500,23.531250,24.976549,22.216394,68148000
